City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Callaway,US,73.4,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
416,Gat,IL,71.01,clear sky,31.61,34.76,OlusHome
417,Jacmel,HT,77.0,overcast clouds,18.23,-72.53,Hotel Florita
420,Asaba,NG,72.91,overcast clouds,6.2,6.73,Crimson Suite Hotels
422,Sherpur,BD,88.38,few clouds,25.02,90.02,জামালপুর মডেল ছাত্রাবাস
426,Mersing,MY,87.8,scattered clouds,2.43,103.84,Timotel Hotel
429,Ojinaga,MX,80.6,clear sky,29.57,-104.42,Suites Las Palmas
433,Quang Ngai,VN,79.52,moderate rain,15.12,108.8,Central Hotel
434,Kavieng,PG,83.68,light rain,-2.57,150.8,Nusa Island Retreat
437,Buchanan,LR,76.37,light rain,5.88,-10.05,Kamaneahn Hotel Inc
439,Guerrero Negro,MX,71.4,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
445,Davila,PH,84.2,light intensity shower rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
455,Karachi,PK,84.2,smoke,24.91,67.08,Hillside Homes
462,Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
463,Gizo,SB,84.88,light rain,-8.1,156.84,Imagination Island
464,Ginda,IN,77.0,haze,30.69,78.49,Bal uma sankar hotel and restaurant
466,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
469,Bonthe,SL,77.16,overcast clouds,7.53,-12.51,Bonthe Holiday Village
471,Biltine,TD,80.31,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
475,Ahuimanu,US,82.0,scattered clouds,21.44,-157.84,Paradise Bay Resort
476,Sinjai,ID,89.31,broken clouds,-5.12,120.25,Wisma Sandika
480,Jibuti,DJ,80.6,haze,11.5,42.5,Orchid Main Camp Goubet
484,Vanimo,PG,85.69,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
485,Nago,JP,87.8,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
486,Birin,NP,71.49,clear sky,26.89,88.07,Suryodaya hotel
487,Catia La Mar,VE,80.78,clear sky,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
490,Veraval,IN,85.75,broken clouds,20.9,70.37,Lords Inn Somnath
492,Majene,ID,87.73,few clouds,-3.54,118.97,Kost Putri RABBANI
493,Arlit,NE,83.88,clear sky,18.74,7.39,Hôtel Telwa Bungalow
494,Poum,NC,76.48,clear sky,-20.23,164.02,Gîte kajeon
496,Saint-Paul,RE,78.8,clear sky,-21.01,55.27,Boucan Canot
498,Tabou,CI,76.48,overcast clouds,4.42,-7.35,hotêl doufoulougou
499,Mahibadhoo,MV,82.83,broken clouds,3.78,72.97,Omadhoo Inn
503,Canavieiras,BR,71.38,overcast clouds,-15.68,-38.95,Bahiadomizil
504,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
506,Matamoros,MX,71.51,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
512,Nhulunbuy,AU,89.6,few clouds,-12.23,136.77,East Arnhem Real Estate
513,Along,IN,84.25,scattered clouds,28.17,94.77,Hotel West
517,Mondlo,ZA,80.74,clear sky,-27.98,30.72,KwaXaba
522,Ningbo,CN,75.0,broken clouds,29.88,121.55,CITIC Ningbo International Hotel
526,Labuhan,ID,87.49,scattered clouds,-6.88,112.21,bador sepret
531,Magaria,NE,77.27,clear sky,13.0,8.91,Chez Honorable Chapiou
540,Mogadishu,SO,80.6,broken clouds,2.04,45.34,Hotel Juba
551,Mount Pleasant,US,71.01,clear sky,32.79,-79.86,Best Western Patriots Point
553,Mozarlandia,BR,74.88,overcast clouds,-14.74,-50.57,Hotel Santa Mônica
559,Singapore,SG,86.0,light intensity shower rain,1.29,103.85,The Fullerton Hotel Singapore
561,Vetapalem,IN,76.24,light rain,15.78,80.32,G.S Lodge
563,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
566,Totness,SR,80.51,broken clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
569,Bonoua,CI,78.8,few clouds,5.27,-3.6,Hotel Bon Samaritian
571,Cabedelo,BR,73.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
574,Camacari,BR,78.8,broken clouds,-12.7,-38.32,Sítio Blasi
577,Kipini,KE,78.8,overcast clouds,-2.53,40.53,Tana River Lodge
581,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
583,Acarau,BR,78.76,few clouds,-2.89,-40.12,castelo pizzaria
584,Longhua,CN,80.89,clear sky,23.61,114.19,Huadu Hotel
586,Magalia,US,73.4,clear sky,39.81,-121.58,Kris West Park
587,Kutum,SD,72.43,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
592,Dondo,MZ,72.63,clear sky,-19.61,34.74,Arco Iris
597,Mumbwa,ZM,70.63,clear sky,-14.98,27.06,Mumbwa Motel
600,Ambilobe,MG,87.84,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
604,Tera,NE,84.92,clear sky,14.01,0.75,Hotel Daressalam Téra
606,Tabuk,PH,79.66,moderate rain,17.42,121.44,Grand Zion Garden Resort Hotel
609,Matara,LK,85.32,overcast clouds,5.95,80.54,Amaloh Boutique Resort
610,Mapalad,PH,80.6,heavy intensity rain,15.43,121.1,Nazareth Hotel
612,Luwuk,ID,85.42,light rain,-0.95,122.79,Hotel Santika Luwuk
615,La Macarena,CO,72.52,broken clouds,2.18,-73.78,AGENCIA DE VIAJES Y TURISMO CRISTALES MACARENA
616,Ternate,ID,84.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
620,Massape,BR,73.51,clear sky,-3.52,-40.34,Hotel Arrudinha
622,Presidencia Roque Saenz Pena,AR,79.93,clear sky,-26.79,-60.44,Hotel Aconcagua
623,Teknaf,BD,87.42,broken clouds,20.86,92.31,Magnum Engineering & Construction
627,Casino,AU,75.2,overcast clouds,-28.87,153.05,Squatters Homestead Motel
